"SaleID","ProductKey"
"SO436591","349"
"SO436592","350"
"SO436593","351"
"SO436594","344"
"SO436595","345"
"SO436596","346"
"SO436597","347"
"SO436598","229"
"SO436599","235"
"SO4365910","218"
"SO4365911","223"
"SO4365912","220"
"SO436601","326"
"SO436602","319"
"SO436611","300"
"SO436612","296"
"SO436613","304"
"SO436614","223"
"SO436615","232"
"SO436616","293"
"SO436617","348"
"SO436618","351"
"SO436619","220"
"SO4366110","292"
"SO4366111","349"
"SO4366112","346"
"SO4366113","235"
"SO4366114","350"
"SO4366115","215"
"SO436621","330"
"SO436622","342"
"SO436623","272"
"SO436624","315"
"SO436625","262"
"SO436626","326"
"SO436627","332"
"SO436628","338"
"SO436629","314"
"SO4366210","317"
"SO4366211","328"
"SO4366212","275"
"SO4366213","319"
"SO4366214","270"
"SO4366215","253"
"SO4366216","310"
"SO4366217","322"
"SO4366218","264"
"SO4366219","276"
"SO4366220","285"
"SO4366221","334"
"SO4366222","316"
"SO436631","322"
"SO436641","345"
"SO436642","348"
"SO436643","229"
"SO436644","235"
"SO436645","350"
"SO436646","344"
"SO436647","346"
"SO436648","351"
"SO436651","220"
"SO436652","346"
"SO436653","212"
"SO436654","232"
"SO436655","350"
"SO436656","223"
"SO436657","348"
"SO436658","351"
"SO436659","218"
"SO4366510","349"
"SO436661","330"
"SO436662","314"
"SO436663","275"
"SO436664","317"
"SO436665","338"
"SO436666","334"
"SO436671","219"
"SO436672","346"
"SO436673","351"
"SO436674","348"
"SO436681","317"
"SO436682","314"
"SO436683","322"
"SO436684","332"
"SO436685","232"
"SO436686","272"
"SO436687","212"
"SO436688","220"
"SO436689","315"
"SO4366810","223"
"SO4366811","270"
"SO4366812","316"
"SO4366813","324"
"SO4366814","342"
"SO4366815","264"
"SO4366816","330"
"SO4366817","334"
"SO4366818","262"
"SO4366819","235"
"SO4366820","338"
"SO4366821","275"
"SO4366822","319"
"SO4366823","326"
"SO4366824","285"
"SO4366825","229"
"SO4366826","253"
"SO4366827","215"
"SO4366828","276"
"SO4366829","328"
"SO436691","304"
"SO436701","219"
