"ResellerKey","ResellerName"
"1","A Bike Store"
"2","Progressive Sports"
"3","Advanced Bike Components"
"4","Modular Cycle Systems"
"5","Metropolitan Sports Supply"
"6","Aerobic Exercise Company"
"7","Associated Bikes"
"8","Exemplary Cycles"
"9","Tandem Bicycle Store"
"10","Rural Cycle Emporium"
"11","Sharp Bikes"
"12","Bikes and Motorbikes"
"13","Country Parts Shop"
"14","Bicycle Warehouse Inc."
"15","Budget Toy Store"
"16","Bulk Discount Store"
"17","Trusted Catalog Store"
"18","Catalog Store"
"19","Center Cycle Shop"
"20","Central Discount Store"
"21","Chic Department Stores"
"22","Travel Systems"
"23","Bike World"
"24","Eastside Department Store"
"25","Coalition Bike Company"
"26","Stylish Department Stores"
"27","Sports Sales and Rental"
"28","Commuter Bicycle Store"
"29","Cross-Country Riding Supplies"
"30","Cycle Merchants"
"31","Wheels Inc."
"32","Precision Gears Inc."
"33","Global Sports Outlet"
"34","Cycles Wholesaler & Mfg."
"35","Economic Parts Supply"
"36","Exotic Bikes"
"37","Two Bike Shops"
"38","Finer Mart"
"39","Fitness Hotel"
"40","Journey Sporting Goods"
"41","Distant Inn"
"42","Healthy Activity Store"
"43","Frugal Bike Shop"
"44","Games and Sport Supply Company"
"45","Every Bike Shop"
"46","Gear-Shift Bikes Limited"
"47","Greater Bike Store"
"48","Grand Industries"
"49","Neighborhood Bicycle Storehouse"
"50","Hometown Riding Supplies"
"51","Ideal Components"
"52","Instruments and Parts Company"
"53","Incomparable Bicycle Store"
"54","Larger Cycle Shop"
"55","Kickstands and Accessories Company"
"56","Latest Accessories Sales"
"57","Leading Sales & Repair"
"58","Largest Bike Store"
"59","Locks Company"
"60","Main Bicycle Services"
"61","Many Bikes Store"
"62","Manufacturers Inc"
"63","Metro Bike Mart"
"64","Metal Clearing House"
"65","Metro Manufacturing"
"66","Neighborhood Store"
"67","Self-Contained Cycle Parts Company"
"68","North Bike Company"
"69","Online Bike Catalog"
"70","Outdoor Aerobic Systems Company"
"71","Outdoor Distributors"
"72","Outdoor Equipment Store"
"73","Outdoor Sports Supply"
"74","Parcel Express Delivery Service"
"75","Paint Supply"
"76","Out-of-the-Way Hotels"
"77","Mechanical Products Ltd."
"78","Preferred Bikes"
"79","Reasonable Bicycle Sales"
"80","Racks and Security Systems"
"81","Rally Day Mall"
"82","Refined Department Stores"
"83","Requisite Part Supply"
"84","Rewarding Activities Company"
"85","Roadway Bicycle Supply"
"86","Bicycle Exporters"
"87","Rich Department Store"
"88","Closest Bicycle Store"
"89","Riverside Company"
"90","Sales and Supply Company"
"91","Scooters and Bikes Store"
"92","Sports Commodities"
"93","Stationary Bikes and Stands"
"94","Specialty Sports Store"
"95","Rural Department Store"
"96","More Bikes!"
"97","Mountain Bike Center"
"98","Superlative Bikes"
